sex,age,calyr,risk_score,popn,cases,rate
2,86,1997,1,97532,3739,3833.614
2,86,1997,2,97532,240,246.073
2,86,1997,3,97532,1,1.025
2,87,1997,1,86344,3505,4059.344
2,87,1997,2,86344,247,286.065
2,87,1997,3,86344,0,0
2,88,1997,1,75386,3252,4313.798
2,88,1997,2,75386,238,315.708
2,88,1997,3,75386,0,0
2,89,1997,1,64208,2901,4518.129
2,89,1997,2,64208,198,308.373
2,89,1997,3,64208,0,0
2,90,1997,1,53481,2524,4719.433
2,90,1997,2,53481,184,344.047
2,90,1997,3,53481,1,1.87
2,91,1997,1,42862,2135,4981.102
2,91,1997,2,42862,137,319.63
2,91,1997,3,42862,0,0
2,92,1997,1,33912,1804,5319.651
2,92,1997,2,33912,130,383.345
2,92,1997,3,33912,0,0
2,93,1997,1,26231,1429,5447.753
2,93,1997,2,26231,99,377.416
2,93,1997,3,26231,0,0
2,94,1997,1,20128,1171,5817.766
2,94,1997,2,20128,73,362.679
2,94,1997,3,20128,0,0
2,95,1997,1,14603,862,5902.897
2,95,1997,2,14603,45,308.156
2,95,1997,3,14603,1,6.848
2,96,1997,1,10036,585,5829.016
2,96,1997,2,10036,31,308.888
2,96,1997,3,10036,0,0
2,97,1997,1,7056,398,5640.59
2,97,1997,2,7056,10,141.723
2,97,1997,3,7056,0,0
2,98,1997,1,4638,234,5045.278
2,98,1997,2,4638,12,258.732
2,98,1997,3,4638,0,0
2,99,1997,1,2938,155,5275.698
2,99,1997,2,2938,9,306.331
2,99,1997,3,2938,0,0
2,100,1997,1,1825,81,4438.356
2,100,1997,2,1825,1,54.795
2,100,1997,3,1825,0,0
2,101,1997,1,1106,55,4972.875
2,101,1997,2,1106,3,271.248
2,101,1997,3,1106,0,0
2,102,1997,1,683,32,4685.212
2,102,1997,2,683,1,146.413
2,102,1997,3,683,0,0
2,103,1997,1,380,14,3684.211
2,103,1997,2,380,3,789.474
2,103,1997,3,380,0,0
2,104,1997,1,216,9,4166.667
2,104,1997,2,216,0,0
2,104,1997,3,216,0,0
1,5,1998,1,323210,809,250.302
1,5,1998,2,323210,26,8.044
1,5,1998,3,323210,3,0.928
1,6,1998,1,333920,684,204.839
1,6,1998,2,333920,14,4.193
1,6,1998,3,333920,1,0.299
1,7,1998,1,337014,562,166.759
1,7,1998,2,337014,12,3.561
1,7,1998,3,337014,0,0
1,8,1998,1,331427,447,134.871
1,8,1998,2,331427,9,2.716
1,8,1998,3,331427,0,0
1,9,1998,1,327822,397,121.102
1,9,1998,2,327822,17,5.186
1,9,1998,3,327822,0,0
1,10,1998,1,331692,346,104.314
1,10,1998,2,331692,18,5.427
1,10,1998,3,331692,0,0
1,11,1998,1,322545,360,111.612
1,11,1998,2,322545,17,5.271
1,11,1998,3,322545,2,0.62
1,12,1998,1,318010,345,108.487
1,12,1998,2,318010,13,4.088
1,12,1998,3,318010,1,0.314
1,13,1998,1,320814,322,100.37
1,13,1998,2,320814,14,4.364
1,13,1998,3,320814,0,0
1,14,1998,1,307341,316,102.817
1,14,1998,2,307341,12,3.904
1,14,1998,3,307341,0,0
1,15,1998,1,304375,300,98.563
1,15,1998,2,304375,17,5.585
1,15,1998,3,304375,0,0
1,16,1998,1,305123,317,103.893
1,16,1998,2,305123,22,7.21
1,16,1998,3,305123,0,0
1,17,1998,1,309735,324,104.606
1,17,1998,2,309735,22,7.103
1,17,1998,3,309735,0,0
1,18,1998,1,305685,424,138.705
1,18,1998,2,305685,29,9.487
1,18,1998,3,305685,1,0.327
1,19,1998,1,287759,398,138.31
1,19,1998,2,287759,29,10.078
1,19,1998,3,287759,0,0
1,20,1998,1,278320,352,126.473
1,20,1998,2,278320,22,7.905
1,20,1998,3,278320,0,0
1,21,1998,1,274930,335,121.849
1,21,1998,2,274930,24,8.729
1,21,1998,3,274930,0,0
1,22,1998,1,286951,383,133.472
1,22,1998,2,286951,27,9.409
1,22,1998,3,286951,0,0
1,23,1998,1,298094,441,147.94
1,23,1998,2,298094,19,6.374
1,23,1998,3,298094,0,0
1,24,1998,1,309480,428,138.296
1,24,1998,2,309480,36,11.632
1,24,1998,3,309480,0,0
1,25,1998,1,332975,516,154.967
1,25,1998,2,332975,30,9.01
1,25,1998,3,332975,1,0.3
1,26,1998,1,353348,535,151.409
1,26,1998,2,353348,38,10.754
1,26,1998,3,353348,0,0
1,27,1998,1,365027,631,172.864
1,27,1998,2,365027,39,10.684
1,27,1998,3,365027,0,0
1,28,1998,1,363804,620,170.421
1,28,1998,2,363804,36,9.895
1,28,1998,3,363804,0,0
1,29,1998,1,375115,640,170.614
1,29,1998,2,375115,43,11.463
1,29,1998,3,375115,1,0.267
1,30,1998,1,380079,729,191.802
1,30,1998,2,380079,45,11.84
1,30,1998,3,380079,0,0
1,31,1998,1,391679,729,186.122
1,31,1998,2,391679,48,12.255
1,31,1998,3,391679,0,0
1,32,1998,1,392528,765,194.891
1,32,1998,2,392528,46,11.719
1,32,1998,3,392528,0,0
1,33,1998,1,396139,786,198.415
1,33,1998,2,396139,54,13.632
1,33,1998,3,396139,0,0
1,34,1998,1,392651,843,214.694
1,34,1998,2,392651,59,15.026
1,34,1998,3,392651,0,0
1,35,1998,1,385042,852,221.275
1,35,1998,2,385042,47,12.206
1,35,1998,3,385042,0,0
1,36,1998,1,374212,847,226.342
1,36,1998,2,374212,61,16.301
1,36,1998,3,374212,0,0
1,37,1998,1,367222,796,216.763
1,37,1998,2,367222,54,14.705
1,37,1998,3,367222,0,0
1,38,1998,1,352903,862,244.26
1,38,1998,2,352903,57,16.152
1,38,1998,3,352903,0,0
1,39,1998,1,345229,863,249.979
1,39,1998,2,345229,57,16.511
1,39,1998,3,345229,0,0
1,40,1998,1,339912,892,262.421
1,40,1998,2,339912,60,17.652
1,40,1998,3,339912,1,0.294
1,41,1998,1,328786,834,253.66
1,41,1998,2,328786,60,18.249
1,41,1998,3,328786,0,0
1,42,1998,1,318580,889,279.051
1,42,1998,2,318580,54,16.95
1,42,1998,3,318580,0,0
1,43,1998,1,310518,865,278.567
1,43,1998,2,310518,64,20.611
1,43,1998,3,310518,0,0
1,44,1998,1,313198,956,305.238
1,44,1998,2,313198,78,24.904
1,44,1998,3,313198,0,0
1,45,1998,1,310732,931,299.615
1,45,1998,2,310732,66,21.24
1,45,1998,3,310732,0,0
1,46,1998,1,306464,957,312.272
1,46,1998,2,306464,76,24.799
1,46,1998,3,306464,0,0
1,47,1998,1,310290,988,318.412
1,47,1998,2,310290,82,26.427
1,47,1998,3,310290,1,0.322
1,48,1998,1,318471,1045,328.13
1,48,1998,2,318471,78,24.492
1,48,1998,3,318471,1,0.314
1,49,1998,1,330177,1106,334.972
1,49,1998,2,330177,108,32.71
1,49,1998,3,330177,0,0
1,50,1998,1,354379,1254,353.858
1,50,1998,2,354379,94,26.525
1,50,1998,3,354379,0,0
1,51,1998,1,379072,1375,362.728
1,51,1998,2,379072,123,32.448
